TCA, EAV , Rate ,CTY,FOR,TWP,RBT,COL,ESD,HSD,USD,MUN,FIR,LIB,PRK,SAN1,SAN2,MSQ,POR,WTR,TIF,TIF,SSA1,SSA2,SSA3,SSA4,SP1,SP2,SP3,SP4,Other
01046, -   , 13.204586 ,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M54WHA,,L15ZBE,P23ZIO,S05NSH,,,,,,,,,,,B06003,B12126,,,
01047, -   , 13.047531 ,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M54WHA,,L15ZBE,P23ZIO,,,,,,,,,,,,B06003,B12126,,,
01048," 1,393,533 ", 10.860925 ,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M50WAD,F23WHA,L15ZBE,,,,,,,,,,,,,B06003,B12126,,,
01049, -   , 11.906311 ,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M50WAD,F23WHA,L15ZBE,P23ZIO,,,,,,,,,,,,B06003,B12126,,,
01050, -   , 11.657889 ,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,F05BPA,L15ZBE,,,,,,,,,136SSA,,,,B06003,B12126,,,
01051, -   , 11.657889 ,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,F05BPA,L15ZBE,,,,,,,,,140SSA,,,,B06003,B12126,,,
01052, -   , 13.727118 ,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M52WAK,,,P20WAK,,,,,,,,136SSA,,,,B06003,B12126,,,
01053, -   , 12.063366 ,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M50WAD,F23WHA,L15ZBE,P23ZIO,S05NSH,,,,,,,,,,,B06003,B12126,,,
01054," 1,270,875 ", 11.814944 ,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,F05BPA,L15ZBE,,S05NSH,,,,,X04TIF,,,,,,B06003,B12126,,,
01055, -   , 11.814944 ,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,F05BPA,L15ZBE,,S05NSH,,,,,X04TIF,,,,,,B06003,B12126,,,
01056, -   , 14.043645 ,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E04006,H08126,,,F05BPA,L15ZBE,,S05NSH,,,,,,,,,,,B12126,,,,
01057," 45,734 ", 11.657889 ,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,F05BPA,L15ZBE,,,,,,,,,141SSA,,,,B06003,B12126,,,
01058," 49,049 ", 10.860925 ,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,F23WHA,L15ZBE,,,,,,,,,142SSA,,,,B06003,B12126,,,
01059," 119,322 ", 11.657889 ,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,F05BPA,L15ZBE,,,,,,,,,139SSA,,,,B06003,B12126,,,
01060," 203,230 ", 10.860925 ,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,F23WHA,L15ZBE,,,,,,,,,138SSA,,,,B06003,B12126,,,
01061," 186,101 ", 10.860925 ,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,F23WHA,L15ZBE,,,,,,,,,137SSA,,,,B06003,B12126,,,
01062, -   , 11.657889 ,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,F05BPA,L15ZBE,,,,,,,,,138SSA,,,,B06003,B12126,,,
