TCA, EAV , Rate ,COL,ESD,HSD,USD,MUN,FIR,LIB,PRK,SAN,MSQ,WTR,TIF,SSA1,SSA2,SSA3,SSA4,
1074,"3,294,443",13.023928,532,3,126,,BCHPK,BCHPK,ZNBEN,,NOSHR,,,BCPK3,,,,,
1075,"271,562",12.870718,532,3,126,,BCHPK,BCHPK,ZNBEN,,,,,BCPK3,,,,,
1076,"498,805",13.816928,532,3,126,,BCHPK,BCHPK,ZNBEN,WKGN,,,,BCPK3,,,,,
1077, -   ,13.970138,532,3,126,,BCHPK,BCHPK,ZNBEN,WKGN,NOSHR,,,BCPK3,,,,,
1078,"3,544,434",11.994697,532,3,126,,BCHPK,WHARB,ZNBEN,,,,,BCPK4,,,,,
1079, -   , -   ,532,3,126,,BCHPK,WHARB,ZNBEN,,,,,BCPK4,BPRK4,,,,
1080,"8,847,573",12.870718,532,3,126,,BCHPK,BCHPK,ZNBEN,,,,,BCPK4,,,,,
1081, -   , -   ,532,3,126,,BCHPK,BCHPK,ZNBEN,,,,,BCPK4,BPRK4,,,,
1082,"349,644",12.870718,532,3,126,,BCHPK,BCHPK,ZNBEN,,,,,BCPK4,BPRK6,,,,
1083, -   , -   ,532,3,126,,BCHPK,BCHPK,ZNBEN,,,,,BCPK4,BPRK2,,,,
1084, -   , -   ,532,1,126,,WHARB,WHARB,ZNBEN,,NOSHR,,,,,,,,
1085,"241,147",12.870718,532,3,126,,BCHPK,BCHPK,ZNBEN,,,,,,BPRK9,,,,
1086,"335,327",11.994697,532,3,126,,BCHPK,WHARB,ZNBEN,,,,,BCPK4,BPK10,,,,
1087, -   , -   ,532,3,126,,BCHPK,WHARB,ZNBEN,,,,,BCPK4,BPRK4,BPK10,,,
1088,"121,179",12.870718,532,3,126,,BCHPK,BCHPK,ZNBEN,,,,,BCPK4,BPK11,,,,
1089,"412,671",12.870718,532,3,126,,BCHPK,BCHPK,ZNBEN,,,,,,BPK12,,,,
1090,"736,799",11.994697,532,3,126,,BCHPK,WHARB,ZNBEN,,,,,,BPK12,,,,
1091,"38,022",11.994697,532,3,126,,BCHPK,WHARB,ZNBEN,,,,,BCPK4,BPK12,,,,
1092,"1,084",12.870718,532,3,126,,BCHPK,BCHPK,ZNBEN,,,,,BCPK4,BPK12,,,,
1093, -   , -   ,532,3,126,,WHARB,WHARB,ZNBEN,,,,,,,,,,
1094,"20,628",15.671228,532,3,126,,WKGN,BCHPK,,,NOSHR,,,,,,,,
1095, -   , -   ,532,3,126,,BCHPK,BCHPK,ZNBEN,,NOSHR,,,,BPRK6,,,,
1096, -   , -   ,532,3,126,,BCHPK,BCHPK,ZNBEN,,NOSHR,,,BCPK4,BPRK6,,,,
1097, -   , -   ,532,3,126,,BCHPK,WHARB,ZNBEN,,NOSHR,,,BCPK4,,,,,
2001,"89,376,146",15.550873,532,3,126,,ZION,,ZNBEN,ZION,NOSHR,,,,,,,,
2002,"330,047",16.494224,532,6,126,,ZION,,ZNBEN,,NOSHR,,,,,,,,
2003,"185,107,894",17.584232,532,6,126,,ZION,,ZNBEN,ZION,NOSHR,,,,,,,,
2004,"193,127",17.431022,532,6,126,,ZION,,ZNBEN,ZION,,,,,,,,,
2005,"145,191",16.341014,532,6,126,,ZION,,ZNBEN,,,,,,,,,,
2006,"8,929,803",15.397663,532,3,126,,ZION,,ZNBEN,ZION,,,,,,,,,
2007,"58,051",14.524727,532,1,126,,ZION,,ZNBEN,ZION,NOSHR,,,,,,,,
2008, -   , -   ,532,3,126,,ZION,,ZNBEN,ZION,NOSHR,,,,,,,,
2009, -   , -   ,532,3,126,,ZION,,ZNBEN,,NOSHR,,,,,,,,
2010,"58,046",14.307655,532,3,126,,ZION,,ZNBEN,,,,,,,,,,
2011, -   ,14.460865,532,3,126,,ZION,,ZNBEN,,NOSHR,,,,,,,,
2012, -   , -   ,532,3,126,,ZION,,,,,,,,,,,,
2013,"50,648",15.014692,532,3,126,,ZION,,,ZION,,,,,,,,,
2014, -   , -   ,532,6,126,,ZION,,ZNBEN,ZION,NOSHR,,,ZION,,,,,
2015, -   , -   ,532,3,126,,ZION,,ZNBEN,ZION,NOSHR,,,,,,,,
2016,"1,933,286",15.550873,532,3,126,,ZION,,ZNBEN,ZION,NOSHR,,,ZION3,,,,,
2017,"403,746",17.584232,532,6,126,,ZION,,ZNBEN,ZION,NOSHR,,,ZION3,,,,,
2018, -   , -   ,532,3,126,,ZION,,ZNBEN,ZION,NOSHR,,,ZION3,,,,,
2019, -   , -   ,532,1,126,,ZION,,ZNBEN,,NOSHR,,,,,,,,
2020, -   , -   ,532,3,126,,ZION,WHARB,ZNBEN,,,,,,,,,,
2021, -   , -   ,532,3,126,,ZION,NWPRT,,,,,,,,,,,
2022, -   , -   ,532,3,126,,ZION,WHARB,ZNBEN,ZION,,,,,,,,,
2023, -   , -   ,532,3,126,,ZION,NWPRT,,,NOSHR,,,,,,,,
2024, -   , -   ,532,3,126,,ZION,NWPRT,,ZION,NOSHR,,,,,,,,
2025, -   , -   ,532,3,126,,ZION,NWPRT,,ZION,,,,,,,,,
2026, -   , -   ,532,6,126,,ZION,WHARB,ZNBEN,ZION,NOSHR,,,,,,,,
2027, -   , -   ,532,3,126,,ZION,,,ZION,NOSHR,,,,,,,,
2028,"2,248,078",15.550873,532,3,126,,ZION,,ZNBEN,ZION,NOSHR,,,ZION4,,,,,
2029,"1,189,429",15.550873,532,3,126,,ZION,,ZNBEN,ZION,NOSHR,,,ZION5,,,,,
2030,"14,067",15.167902,532,3,126,,ZION,,,ZION,NOSHR,,,ZION5,,,,,
2031,"548,017",15.014692,532,3,126,,ZION,,,ZION,,,,ZION5,,,,,
2032,"6,633,180",15.397663,532,3,126,,ZION,,ZNBEN,ZION,,,,ZION5,,,,,
2033, -   , -   ,532,6,126,,ZION,,ZNBEN,,NOSHR,,,ZION6,,,,,
2034,"6,389,290",17.584232,532,6,126,,ZION,,ZNBEN,ZION,NOSHR,,,ZION6,,,,,
