Tax Code, Agg Rate , Agg EAV ,CTY,FOR,TWP,RBT,COL,ESD,HSD,USD,MUN,FIR,LIB,PRK,SAN1,SAN2,MSQ,POR,WTR,TIF,TIF,SSA1,SSA2,SSA3,SSA4,SP1,SP2,SP3,SP4,Other,,
01091, 10.560715 ," 49,375 ",CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,F23WHA,L15ZBE,,,,,,,X07TIF,,135SSA,,,,B06003,B12126,,,,,
01092, 11.300738 ," 1,084 ",CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,F05BPA,L15ZBE,,,,,,,X07TIF,,135SSA,,,,B06003,B12126,,,,,
01093, 11.925617 , -   ,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M54WHA,F23WHA,L15ZBE,,,,,,,,,,,,,B06003,B12126,,,,,
01094, 13.712559 , -   ,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M52WAK,F05BPA,,,S05NSH,,,,,,,,,,,B06003,B12126,,,,,
01095, 11.459074 ," 12,704,258 ",CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,F05BPA,L15ZBE,,S05NSH,,,,,,,140SSA,,,,B06003,B12126,,,,,
01096, 11.459074 ," 394,442 ",CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,F05BPA,L15ZBE,,S05NSH,,,,,X07TIF,,140SSA,,,,B06003,B12126,,,,,
01097, 10.719051 ," 193,097 ",CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,F23WHA,L15ZBE,,S05NSH,,,,,X07TIF,,,,,,B06003,B12126,,,,,
01098, 10.719051 , -   ,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,F23WHA,L15ZBE,,S05NSH,,,,,X07TIF,,133SSA,,,,B06003,B12126,,,,,
01099, 11.459074 , -   ,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,F05BPA,L15ZBE,,S05NSH,,,,,X07TIF,,135SSA,,,,B06003,B12126,,,,,
01100, 10.719051 , -   ,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,F23WHA,L15ZBE,,S05NSH,,,,,X07TIF,,135SSA,,,,B06003,B12126,,,,,
01101, 11.459074 , -   ,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,F05BPA,L15ZBE,,S05NSH,,,,,,,143SSA,,,,B06003,B12126,,,,,
01102, 11.459074 ," 64,982 ",CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,F05BPA,L15ZBE,,S05NSH,,,PORWAK,,X07TIF,,,,,,B06003,B12126,,,,,
