TCA, Agg Ext ,Agg Rate,CTY,FOR,TWP,RBT,COL,ESD,HSD,USD,MUN,FIR,LIB,PRK,SAN1,SAN2,MSQ,POR,WTR,TIF,TIF,SSA1,SSA2,SSA3,SSA4,SP1,SP2,SP3,SP4,Other
01083,,10.652225,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,F05BPA,L15ZBE,,,,,,,X07TIF,,136SSA,,,,B06003,B12126,,,
01084,,11.174886,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E01001,H08126,,M54WHA,F23WHA,L15ZBE,,S05NSH,,,,,,,,,,,B12126,,,,
01085,"316,627",10.652225,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,F05BPA,L15ZBE,,,,,,,,,143SSA,,,,B06003,B12126,,,
01086,"403,457",9.960583,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,F23WHA,L15ZBE,,,,,,,X07TIF,,133SSA,,,,B06003,B12126,,,
01087,,9.960583,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,F23WHA,L15ZBE,,,,,,,X07TIF,,133SSA,138SSA,,,B06003,B12126,,,
01088,"64,368",10.652225,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,F05BPA,L15ZBE,,,,,,,X07TIF,,134SSA,,,,B06003,B12126,,,
01089,"396,154",10.652225,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,F05BPA,L15ZBE,,,,,,,,,135SSA,,,,B06003,B12126,,,
01090,"830,146",9.960583,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,F23WHA,L15ZBE,,,,,,,,,135SSA,,,,B06003,B12126,,,
01091,"50,894",9.960583,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,F23WHA,L15ZBE,,,,,,,X07TIF,,135SSA,,,,B06003,B12126,,,
01092,"1,084",10.652225,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,F05BPA,L15ZBE,,,,,,,X07TIF,,135SSA,,,,B06003,B12126,,,
01093,,11.291984,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M54WHA,F23WHA,L15ZBE,,,,,,,,,,,,,B06003,B12126,,,
01094,,12.900459,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M52WAK,F05BPA,,,S05NSH,,,,,,,,,,,B06003,B12126,,,
01095,"14,361,718",10.811944,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,F05BPA,L15ZBE,,S05NSH,,,,,,,140SSA,,,,B06003,B12126,,,
01096,"362,529",10.811944,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,F05BPA,L15ZBE,,S05NSH,,,,,X07TIF,,140SSA,,,,B06003,B12126,,,
01097,"204,740",10.120302,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,F23WHA,L15ZBE,,S05NSH,,,,,X07TIF,,,,,,B06003,B12126,,,
01098,,10.120302,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,F23WHA,L15ZBE,,S05NSH,,,,,X07TIF,,133SSA,,,,B06003,B12126,,,
01099,,10.811944,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,F05BPA,L15ZBE,,S05NSH,,,,,X07TIF,,135SSA,,,,B06003,B12126,,,
01100, -   ,10.120302,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,F23WHA,L15ZBE,,S05NSH,,,,,X07TIF,,135SSA,,,,B06003,B12126,,,
